,0,1
321,C12,player 1
322,C6,player 1
323,C7,Player 2
324,S13,player 1
325,S7,Player 2
326,S6,player 1
327,S11,Player 2
328,C2,player 1
329,D10,Player 2
330,C11,player 1
331,S12,Player 2
332,C13,Player 2
333,C9,player 1
334,Tie,Tie
335,S5,Player 2
336,C11,player 1
337,D8,player 1
338,Tie,Tie
339,C8,Player 2
340,S8,player 1
341,D7,player 1
342,H8,player 1
343,H10,Player 2
344,D8,Player 2
345,C8,player 1
346,C6,player 1
347,C8,player 1
348,C8,Player 2
349,Tie,Tie
350,H11,player 1
351,S13,Player 2
352,D11,player 1
353,C13,player 1
354,H11,Player 2
355,S11,Player 2
356,D10,Player 2
357,H13,Player 2
358,S9,player 1
359,D12,player 1
360,S10,Player 2
361,D12,Player 2
362,S11,player 1
363,C10,player 1
364,H11,player 1
365,D13,Player 2
366,S11,player 1
367,D13,Player 2
368,S9,player 1
369,H8,Player 2
370,S9,Player 2
371,D12,player 1
372,C10,Player 2
373,Tie,Tie
374,Tie,Tie
375,D8,Player 2
376,S9,player 1
377,S6,Player 2
378,D10,Player 2
379,D13,Player 2
380,C10,player 1
381,H10,Player 2
382,C13,Player 2
383,D12,player 1
384,H12,player 1
385,H13,player 1
386,C11,Player 2
387,D13,player 1
388,S13,player 1
389,H10,Player 2
390,S12,Player 2
391,Tie,Tie
392,C11,player 1
393,S11,Player 2
394,C9,player 1
395,H8,player 1
396,S10,player 1
397,C12,Player 2
398,S11,player 1
399,D10,player 1
400,H10,Player 2
401,D11,player 1
402,D11,Player 2
403,D7,player 1
404,D7,player 1
405,S13,Player 2
406,C13,player 1
407,S7,Player 2
408,H9,Player 2
409,H5,player 1
410,C13,Player 2
411,D11,Player 2
412,S11,Player 2
413,D12,player 1
414,S9,player 1
415,H13,Player 2
416,C12,player 1
417,C6,player 1
418,D12,Player 2
419,H9,player 1
420,D9,player 1
421,H12,Player 2
422,D3,player 1
423,H6,player 1
424,H4,player 1
425,C7,Player 2
426,S8,player 1
427,S10,Player 2
428,H8,Player 2
429,S6,Player 2
430,D13,player 1
431,Tie,Tie
432,D12,player 1
433,C8,player 1
434,S5,Player 2
435,C10,Player 2
436,C12,Player 2
437,H6,Player 2
438,C7,Player 2
439,S12,player 1
440,S9,player 1
441,S7,Player 2
442,H11,player 1
443,D8,Player 2
444,C10,Player 2
445,H8,player 1
446,C10,Player 2
447,H13,Player 2
448,S9,player 1
449,S11,player 1
450,C13,Player 2
451,D10,Player 2
452,H8,player 1
453,C7,Player 2
454,D13,player 1
455,D7,player 1
456,S9,player 1
457,S12,player 1
458,S13,Player 2
459,S13,Player 2
460,C7,Player 2
461,H12,Player 2
462,C5,player 1
463,H5,player 1
464,D9,Player 2
465,H3,player 1
466,D8,player 1
467,D8,player 1
468,H13,player 1
469,C9,player 1
470,S8,player 1
471,D5,Player 2
472,H12,player 1
473,S6,player 1
474,D8,player 1
475,S9,Player 2
476,H2,Player 2
477,S7,player 1
478,D6,player 1
479,C13,player 1
480,C3,player 1
481,C10,Player 2
482,H12,Player 2
483,S13,player 1
484,H5,Player 2
485,C13,Player 2
486,C12,Player 2
487,C11,Player 2
488,D9,Player 2
489,H11,Player 2
490,H9,Player 2
491,D10,player 1
492,S10,player 1
493,D11,player 1
494,H7,Player 2
495,D9,Player 2
496,S7,player 1
497,S3,Player 2
498,H7,Player 2
499,D12,Player 2
500,S6,player 1
501,C9,Player 2
502,C13,Player 2
503,C11,Player 2
504,S13,player 1
505,S13,Player 2
506,S11,Player 2
507,H13,Player 2
508,C10,Player 2
509,H11,player 1
510,C8,Player 2
511,H12,player 1
512,H11,Player 2
513,C6,Player 2
514,H6,Player 2
515,S9,Player 2
516,C12,player 1
517,C8,Player 2
518,D12,Player 2
519,C9,Player 2
520,D12,Player 2
521,C9,player 1
522,S10,Player 2
523,D13,Player 2
524,Tie,Tie
525,C10,Player 2
526,S11,Player 2
527,S8,Player 2
528,H4,Player 2
529,S8,Player 2
530,C7,Player 2
531,D7,player 1
532,S5,Player 2
533,D12,Player 2
534,H7,player 1
535,H4,player 1
536,D11,Player 2
537,C11,player 1
538,D9,player 1
539,H7,player 1
540,S10,player 1
541,C7,player 1
542,H6,player 1
543,H12,player 1
544,H13,player 1
545,C3,Player 2
546,D13,Player 2
547,H6,player 1
548,D8,player 1
549,H8,Player 2
550,C9,Player 2
551,S5,player 1
552,H7,Player 2
553,S13,Player 2
554,D9,player 1
555,D9,Player 2
556,S13,player 1
557,H9,player 1
558,C11,player 1
559,S7,Player 2
560,D9,Player 2
561,Tie,Tie
562,C9,player 1
563,C10,player 1
564,C7,player 1
565,H9,Player 2
566,H12,player 1
567,H10,Player 2
568,H13,player 1
569,H8,player 1
570,Tie,Tie
571,C13,player 1
572,H4,player 1
573,S8,player 1
574,H9,player 1
575,C13,player 1
576,S13,player 1
577,H10,player 1
578,H7,Player 2
579,H7,Player 2
580,S7,Player 2
581,D12,Player 2
582,C10,Player 2
583,H9,Player 2
584,S10,Player 2
585,H13,player 1
586,H11,Player 2
587,C8,Player 2
588,C10,player 1
589,D8,player 1
590,D13,player 1
591,S8,player 1
592,C12,player 1
593,S13,Player 2
594,D2,Player 2
595,Tie,Tie
596,H6,Player 2
597,C13,Player 2
598,Tie,Tie
599,D8,Player 2
600,H13,Player 2
601,D8,Player 2
602,C10,player 1
603,C2,player 1
604,C12,Player 2
605,D13,Player 2
606,S5,player 1
607,C11,player 1
608,D9,Player 2
609,H11,player 1
610,D8,player 1
611,D5,player 1
612,S8,Player 2
613,D7,player 1
614,D13,Player 2
615,D9,player 1
616,C6,Player 2
617,D10,Player 2
618,C7,Player 2
619,D6,player 1
620,S3,Player 2
621,H8,player 1
622,S12,Player 2
623,S13,Player 2
624,S13,player 1
625,H11,Player 2
626,S7,Player 2
627,S10,Player 2
628,C12,player 1
629,D12,Player 2
630,S10,player 1
631,D3,player 1
632,C8,player 1
633,C5,player 1
634,D9,Player 2
635,S9,player 1
636,S6,Player 2
637,D12,Player 2
638,C9,player 1
639,S11,player 1
640,S12,Player 2
641,D12,Player 2
642,C10,player 1
643,H5,Player 2
644,S11,Player 2
645,H11,Player 2
646,S7,player 1
647,S13,player 1
648,C13,Player 2
649,Tie,Tie
650,Tie,Tie
651,C13,player 1
652,C5,player 1
653,H11,player 1
654,D7,Player 2
655,Tie,Tie
656,C13,Player 2
657,H8,player 1
658,D8,player 1
659,D8,player 1
660,Tie,Tie
661,H12,player 1
662,H10,player 1
663,C12,Player 2
664,C12,player 1
665,S9,Player 2
666,H12,Player 2
667,C11,Player 2
668,C13,Player 2
669,S11,Player 2
670,C13,Player 2
671,H9,player 1
672,H11,player 1
673,S5,Player 2
674,H13,Player 2
675,H11,player 1
676,D13,player 1
677,S10,Player 2
678,C7,Player 2
679,H9,Player 2
680,S12,Player 2
681,Tie,Tie
682,S5,player 1
683,C9,player 1
684,H10,Player 2
685,D6,Player 2
686,C12,Player 2
687,C10,Player 2
688,S10,player 1
689,H12,player 1
690,H13,player 1
691,C6,Player 2
692,S12,Player 2
693,H12,player 1
694,D11,Player 2
695,C12,Player 2
696,C13,Player 2
697,D6,player 1
698,C13,Player 2
699,D12,player 1
700,D12,Player 2
701,D9,Player 2
702,H10,Player 2
703,S12,Player 2
704,H11,player 1
705,S10,player 1
706,H13,player 1
707,H7,Player 2
708,Tie,Tie
709,Tie,Tie
710,H10,player 1
711,S9,Player 2
712,D6,Player 2
713,D7,player 1
714,D7,Player 2
715,D12,Player 2
716,S12,player 1
717,Tie,Tie
718,H13,player 1
719,C9,Player 2
720,H4,player 1
721,H13,Player 2
722,S11,Player 2
723,Tie,Tie
724,H11,player 1
725,C13,Player 2
726,H11,Player 2
727,D10,player 1
728,C9,player 1
729,H8,player 1
730,Tie,Tie
731,S12,Player 2
732,D9,player 1
733,C3,player 1
734,D9,Player 2
735,S13,Player 2
736,C13,player 1
737,S11,Player 2
738,S10,Player 2
739,Tie,Tie
740,C13,player 1
741,S13,Player 2
742,C2,Player 2
743,H9,Player 2
744,Tie,Tie
745,D4,Player 2
746,S6,Player 2
747,S9,player 1
748,C11,Player 2
749,C11,player 1
750,C5,player 1
751,C7,Player 2
752,S8,Player 2
753,C6,Player 2
754,H13,Player 2
755,H11,Player 2
756,S10,player 1
757,D12,Player 2
758,Tie,Tie
759,H13,Player 2
760,S9,Player 2
761,H9,Player 2
762,C9,Player 2
763,D11,Player 2
764,D11,player 1
765,Tie,Tie
766,C8,player 1
767,C6,player 1
768,S7,player 1
769,C7,player 1
770,D10,Player 2
771,C12,Player 2
772,D8,player 1
773,D10,Player 2
774,S11,player 1
775,H12,Player 2
776,S10,player 1
777,D11,player 1
778,H10,Player 2
779,S12,Player 2
780,H11,player 1
781,C11,Player 2
782,H12,player 1
783,D11,player 1
784,C13,Player 2
785,C7,Player 2
786,C13,player 1
787,H9,player 1
788,D5,player 1
789,C10,Player 2
790,D11,player 1
791,D3,player 1
792,S5,player 1
793,D10,player 1
794,S11,player 1
795,C13,Player 2
796,D8,Player 2
797,D6,Player 2
798,Tie,Tie
799,H11,Player 2
800,D11,player 1
801,H13,Player 2
802,C7,player 1
803,H13,Player 2
804,S13,Player 2
805,Tie,Tie
806,S10,player 1
807,D13,Player 2
808,C13,Player 2
809,D8,player 1
810,C9,player 1
811,D11,player 1
812,S13,Player 2
813,S10,player 1
814,D11,player 1
815,C4,player 1
816,S7,player 1
817,C8,player 1
818,C13,player 1
819,H12,player 1
820,S7,Player 2
821,Tie,Tie
822,C9,player 1
823,C7,player 1
824,C5,Player 2
825,D10,Player 2
826,S4,player 1
827,D4,Player 2
828,S9,player 1
829,S10,player 1
830,C6,Player 2
831,D10,Player 2
832,D9,Player 2
833,D9,player 1
834,C6,player 1
835,S12,Player 2
836,C12,player 1
837,C6,player 1
838,D7,player 1
839,S7,player 1
840,H13,Player 2
841,S13,player 1
842,H6,player 1
843,D13,player 1
844,S10,Player 2
845,D5,Player 2
846,C6,Player 2
847,S11,Player 2
848,D10,Player 2
849,D3,Player 2
850,Tie,Tie
851,D13,player 1
852,D13,Player 2
853,S4,Player 2
854,H11,Player 2
855,D10,Player 2
856,S11,player 1
857,S12,Player 2
858,C7,Player 2
859,D7,Player 2
860,Tie,Tie
861,D11,player 1
862,H7,Player 2
863,D8,player 1
864,D10,player 1
865,C6,player 1
866,S5,player 1
867,H10,player 1
868,C13,Player 2
869,D7,player 1
870,C11,Player 2
871,H5,Player 2
872,H12,player 1
873,H10,player 1
874,C10,player 1
875,C12,Player 2
876,D8,Player 2
877,S8,Player 2
878,S3,player 1
879,D12,player 1
880,D5,Player 2
881,Tie,Tie
882,D7,player 1
883,Tie,Tie
884,C13,Player 2
885,S11,Player 2
886,H8,Player 2
887,H12,Player 2
888,Tie,Tie
889,D6,player 1
890,S13,Player 2
891,C10,Player 2
892,D11,player 1
893,H5,Player 2
894,S4,Player 2
895,Tie,Tie
896,D10,player 1
897,H11,Player 2
898,D5,player 1
899,C10,player 1
900,C10,Player 2
901,C12,Player 2
902,H8,Player 2
903,H12,player 1
904,D9,Player 2
905,C6,player 1
906,H13,Player 2
907,H7,Player 2
908,S12,player 1
909,C5,Player 2
910,H10,Player 2
911,S9,Player 2
912,D10,Player 2
913,D6,player 1
914,C3,player 1
915,C7,player 1
916,D13,Player 2
917,S8,Player 2
918,H10,player 1
919,H5,player 1
920,S4,Player 2
921,S8,player 1
922,C7,Player 2
923,C5,Player 2
924,D13,player 1
925,H11,player 1
926,H12,player 1
927,S6,player 1
928,D13,Player 2
929,S11,Player 2
930,H6,Player 2
931,H12,player 1
932,D5,Player 2
933,C13,player 1
934,C12,Player 2
935,H10,Player 2
936,H8,Player 2
937,C13,Player 2
938,H13,Player 2
939,D6,Player 2
940,S12,player 1
941,Tie,Tie
942,C13,player 1
943,D12,player 1
944,C9,Player 2
945,H7,player 1
946,S11,Player 2
947,H6,Player 2
948,H13,Player 2
949,H8,Player 2
950,D5,player 1
951,H9,player 1
952,D12,player 1
953,C12,player 1
954,H12,player 1
955,H7,player 1
956,S12,player 1
957,H11,Player 2
958,S13,Player 2
959,H3,Player 2
960,C13,Player 2
961,C13,Player 2
962,C13,player 1
963,D11,player 1
964,H6,Player 2
965,C11,Player 2
966,H4,Player 2
967,D12,player 1
968,H6,Player 2
969,S7,Player 2
970,C10,Player 2
971,S9,player 1
972,D13,player 1
973,D11,Player 2
974,C4,Player 2
975,H11,player 1
976,H12,player 1
977,S4,Player 2
978,D5,player 1
979,C13,Player 2
980,S11,Player 2
981,S6,player 1
982,D8,Player 2
983,S11,player 1
984,C9,player 1
985,H13,player 1
986,C12,player 1
987,H11,player 1
988,H13,Player 2
989,C4,Player 2
990,H8,player 1
991,D12,Player 2
992,D12,player 1
993,C12,player 1
994,D7,Player 2
995,C7,player 1
996,S10,player 1
997,D4,Player 2
998,D9,Player 2
999,C11,player 1
