,0,1
711,H7,Player 2
712,C12,player 1
713,S11,Player 2
714,S13,player 1
715,H13,Player 2
716,H8,player 1
717,H9,Player 2
718,H10,Player 2
719,C10,Player 2
720,D11,Player 2
721,H10,Player 2
722,D5,Player 2
723,H13,Player 2
724,H12,Player 2
725,H7,Player 2
726,H6,player 1
727,D6,Player 2
728,H3,player 1
729,D4,player 1
730,Tie,Tie
731,D7,Player 2
732,H12,Player 2
733,D8,Player 2
734,S12,Player 2
735,S8,player 1
736,C6,Player 2
737,S8,Player 2
738,H2,Player 2
739,C12,Player 2
740,H11,player 1
741,H8,player 1
742,D13,Player 2
743,C7,player 1
744,S12,player 1
745,S6,Player 2
746,C4,player 1
747,C9,Player 2
748,D8,player 1
749,S10,player 1
750,H10,player 1
751,S6,Player 2
752,Tie,Tie
753,C10,player 1
754,S11,player 1
755,H9,Player 2
756,S10,player 1
757,C10,Player 2
758,S10,Player 2
759,D13,player 1
760,C6,Player 2
761,C3,player 1
762,S10,Player 2
763,S8,player 1
764,H5,Player 2
765,S6,Player 2
766,H6,Player 2
767,C10,player 1
768,H9,player 1
769,H10,Player 2
770,S4,Player 2
771,D6,player 1
772,H9,Player 2
773,S11,player 1
774,H11,player 1
775,S6,player 1
776,S13,player 1
777,D8,player 1
778,S11,Player 2
779,D12,Player 2
780,S4,Player 2
781,Tie,Tie
782,C9,Player 2
783,D13,player 1
784,H12,Player 2
785,C11,Player 2
786,D9,player 1
787,S13,Player 2
788,D7,Player 2
789,H12,Player 2
790,C11,Player 2
791,D12,player 1
792,D11,Player 2
793,H6,Player 2
794,S8,Player 2
795,C13,Player 2
796,H7,player 1
797,S9,Player 2
798,D13,Player 2
799,Tie,Tie
800,H11,player 1
801,H6,Player 2
802,H8,player 1
803,C8,player 1
804,C4,player 1
805,H13,player 1
806,S12,Player 2
807,C10,player 1
808,C3,Player 2
809,H10,player 1
810,D12,player 1
811,H10,Player 2
812,S12,Player 2
813,C10,player 1
814,S9,Player 2
815,C5,Player 2
816,S3,player 1
817,H11,Player 2
818,S5,Player 2
819,D9,Player 2
820,H13,player 1
821,H11,player 1
822,D4,player 1
823,C4,player 1
824,C11,Player 2
825,S12,Player 2
826,H12,player 1
827,H13,Player 2
828,H10,Player 2
829,H12,Player 2
830,H4,player 1
831,H8,Player 2
832,H6,Player 2
833,S5,Player 2
834,S10,Player 2
835,C12,Player 2
836,H11,player 1
837,D13,player 1
838,S12,player 1
839,H2,Player 2
840,C8,player 1
841,H9,Player 2
842,D12,player 1
843,S6,player 1
844,D10,player 1
845,H10,Player 2
846,S7,player 1
847,D8,Player 2
848,H5,Player 2
849,D8,player 1
850,C9,player 1
851,S2,player 1
852,D12,Player 2
853,D13,Player 2
854,H8,Player 2
855,D6,player 1
856,D13,player 1
857,C7,player 1
858,Tie,Tie
859,D6,Player 2
860,S10,Player 2
861,C10,player 1
862,C10,Player 2
863,H9,Player 2
864,C8,player 1
865,D11,player 1
866,S3,player 1
867,C10,player 1
868,C9,player 1
869,S13,player 1
870,H13,Player 2
871,S6,player 1
872,S9,player 1
873,S13,Player 2
874,S5,Player 2
875,S2,player 1
876,S12,player 1
877,C13,Player 2
878,S8,player 1
879,C13,player 1
880,C9,Player 2
881,C11,Player 2
882,D10,player 1
883,Tie,Tie
884,S11,player 1
885,S8,player 1
886,S8,player 1
887,S5,player 1
888,C4,player 1
889,S9,player 1
890,Tie,Tie
891,H12,player 1
892,D9,player 1
893,C7,player 1
894,D8,Player 2
895,C11,Player 2
896,H12,Player 2
897,S13,player 1
898,D8,Player 2
899,Tie,Tie
900,H9,player 1
901,C12,player 1
902,C11,Player 2
903,S11,Player 2
904,Tie,Tie
905,S11,Player 2
906,H11,player 1
907,D9,player 1
908,D3,Player 2
909,C12,Player 2
910,S10,Player 2
911,D9,player 1
912,C9,player 1
913,S12,player 1
914,D10,Player 2
915,Tie,Tie
916,C11,player 1
917,S11,player 1
918,C11,player 1
919,C8,player 1
920,H12,player 1
921,S11,Player 2
922,D11,Player 2
923,H11,player 1
924,S13,Player 2
925,H6,Player 2
926,C8,Player 2
927,C10,player 1
928,D10,Player 2
929,D13,Player 2
930,S11,Player 2
931,H11,player 1
932,C12,Player 2
933,D13,player 1
934,Tie,Tie
935,H11,Player 2
936,H11,Player 2
937,H13,Player 2
938,Tie,Tie
939,H8,Player 2
940,D8,Player 2
941,H12,Player 2
942,C6,player 1
943,Tie,Tie
944,C12,Player 2
945,H7,player 1
946,S9,player 1
947,D9,player 1
948,S4,player 1
949,S7,player 1
950,H3,player 1
951,S12,Player 2
952,S9,Player 2
953,H9,Player 2
954,H8,player 1
955,D10,Player 2
956,C8,Player 2
957,H5,player 1
958,D10,Player 2
959,D12,Player 2
960,S6,player 1
961,C7,Player 2
962,H9,Player 2
963,S12,Player 2
964,S9,player 1
965,D6,player 1
966,C7,Player 2
967,S12,Player 2
968,C13,player 1
969,C13,player 1
970,H7,player 1
971,S11,player 1
972,C7,Player 2
973,C10,Player 2
974,S7,Player 2
975,C12,Player 2
976,C11,player 1
977,S12,player 1
978,H10,Player 2
979,H13,Player 2
980,S13,Player 2
981,C6,player 1
982,H5,Player 2
983,H6,player 1
984,H12,Player 2
985,S12,player 1
986,S11,Player 2
987,C10,Player 2
988,D7,player 1
989,H13,Player 2
990,Tie,Tie
991,H13,Player 2
992,H12,player 1
993,D4,Player 2
994,C13,Player 2
995,H10,Player 2
996,S11,player 1
997,D11,player 1
998,S3,player 1
999,C4,player 1
1000,Tie,Tie
1001,D11,Player 2
1002,Tie,Tie
1003,C7,player 1
1004,H11,player 1
1005,C8,player 1
1006,H6,Player 2
1007,H4,player 1
1008,S13,Player 2
1009,C12,player 1
1010,S13,Player 2
1011,C13,Player 2
1012,D12,Player 2
1013,D10,player 1
1014,H11,player 1
1015,H9,player 1
1016,D11,Player 2
1017,H10,Player 2
1018,H9,player 1
1019,S3,Player 2
1020,H11,player 1
1021,H13,player 1
1022,D12,Player 2
1023,H13,player 1
1024,S7,player 1
1025,D5,player 1
1026,H4,Player 2
1027,S4,Player 2
1028,C9,player 1
1029,C6,player 1
1030,H7,player 1
1031,Tie,Tie
1032,H13,player 1
1033,H7,player 1
1034,C5,Player 2
1035,H11,Player 2
1036,S7,Player 2
1037,D12,player 1
1038,S6,Player 2
1039,C13,player 1
1040,C7,player 1
1041,H13,Player 2
1042,H9,Player 2
1043,C12,Player 2
1044,H7,player 1
1045,H6,Player 2
1046,Tie,Tie
1047,C8,Player 2
1048,D11,player 1
1049,H13,Player 2
1050,C12,player 1
1051,D13,player 1
1052,H11,player 1
1053,S9,player 1
1054,S13,Player 2
1055,D10,Player 2
1056,Tie,Tie
1057,H10,Player 2
1058,C12,player 1
1059,S13,Player 2
1060,S13,player 1
1061,S13,Player 2
1062,C10,Player 2
1063,S9,player 1
1064,D12,Player 2
1065,D8,Player 2
1066,C9,Player 2
1067,S13,Player 2
1068,H9,Player 2
1069,C2,player 1
1070,H8,player 1
1071,S11,Player 2
1072,C9,player 1
1073,S4,player 1
1074,C12,Player 2
1075,D9,Player 2
1076,S9,player 1
1077,D9,Player 2
1078,D12,Player 2
1079,C8,player 1
1080,C5,Player 2
1081,C9,Player 2
1082,S4,Player 2
1083,C13,player 1
1084,D10,Player 2
1085,H11,Player 2
1086,D6,Player 2
1087,Tie,Tie
1088,H13,Player 2
1089,S9,Player 2
1090,C8,Player 2
1091,D13,player 1
1092,D13,player 1
1093,S8,Player 2
1094,C9,Player 2
1095,H9,Player 2
1096,H10,Player 2
1097,H10,player 1
1098,C13,player 1
1099,S8,player 1
1100,D13,player 1
1101,D9,Player 2
1102,D4,player 1
1103,C11,player 1
1104,S7,player 1
1105,S7,Player 2
1106,D4,player 1
1107,C6,Player 2
1108,D13,player 1
1109,D9,player 1
1110,H10,Player 2
1111,D13,player 1
1112,C11,Player 2
1113,Tie,Tie
1114,Tie,Tie
1115,S10,Player 2
1116,S11,Player 2
1117,D9,player 1
1118,C11,player 1
1119,C10,player 1
1120,C10,player 1
1121,H8,player 1
1122,H9,player 1
1123,D12,player 1
1124,H9,Player 2
1125,S12,player 1
1126,H4,player 1
1127,S11,Player 2
1128,D10,Player 2
1129,S3,Player 2
1130,C13,Player 2
1131,S12,Player 2
1132,D13,Player 2
1133,S7,player 1
1134,S11,Player 2
1135,H6,player 1
1136,Tie,Tie
1137,C11,player 1
1138,H9,Player 2
1139,H12,Player 2
1140,S12,Player 2
1141,D8,Player 2
1142,C13,player 1
1143,D5,Player 2
1144,Tie,Tie
1145,S12,player 1
1146,Tie,Tie
1147,D9,player 1
1148,D11,Player 2
1149,H6,Player 2
1150,S10,Player 2
1151,D11,Player 2
1152,D6,player 1
1153,S8,player 1
1154,C8,Player 2
1155,H12,player 1
1156,S5,Player 2
1157,C12,player 1
1158,H11,player 1
1159,D7,player 1
1160,S13,player 1
1161,H7,player 1
1162,H11,Player 2
1163,H13,player 1
1164,S11,Player 2
1165,S8,player 1
1166,D6,Player 2
1167,S12,player 1
1168,D13,Player 2
1169,D9,Player 2
1170,H12,Player 2
1171,H4,Player 2
1172,C7,player 1
1173,H7,Player 2
1174,H12,Player 2
1175,D10,Player 2
1176,C12,player 1
1177,H2,Player 2
1178,S10,player 1
1179,H8,Player 2
1180,S2,Player 2
1181,C4,Player 2
1182,H9,player 1
1183,H8,player 1
1184,S10,player 1
1185,S10,player 1
1186,C8,player 1
1187,H10,player 1
1188,D10,Player 2
1189,C12,Player 2
1190,Tie,Tie
1191,Tie,Tie
1192,D10,player 1
1193,D10,Player 2
1194,H6,player 1
1195,S4,Player 2
1196,H12,Player 2
1197,H10,player 1
1198,D5,player 1
1199,H7,player 1
1200,D5,Player 2
1201,H13,player 1
1202,S6,player 1
1203,H11,Player 2
1204,D11,Player 2
1205,D11,Player 2
1206,S13,Player 2
1207,D8,Player 2
1208,Tie,Tie
1209,H7,player 1
1210,Tie,Tie
1211,C6,player 1
1212,S13,Player 2
1213,S11,Player 2
1214,S13,Player 2
1215,D13,player 1
1216,C13,player 1
1217,D4,Player 2
1218,C11,player 1
1219,H8,Player 2
1220,C2,Player 2
1221,S4,Player 2
1222,S11,player 1
1223,D12,player 1
1224,D13,player 1
1225,S4,player 1
1226,D11,player 1
1227,D8,Player 2
1228,C12,player 1
1229,C9,player 1
1230,D6,player 1
1231,C8,Player 2
1232,D8,Player 2
1233,S11,Player 2
1234,D10,Player 2
1235,H13,Player 2
1236,S4,Player 2
1237,C13,Player 2
1238,C4,player 1
1239,C12,player 1
1240,S13,player 1
1241,D7,player 1
1242,C8,Player 2
1243,D13,Player 2
1244,H6,player 1
1245,Tie,Tie
1246,Tie,Tie
1247,S11,player 1
1248,S11,player 1
1249,H2,player 1
1250,D4,Player 2
1251,C12,Player 2
1252,S11,player 1
1253,C13,player 1
1254,S8,Player 2
1255,H10,Player 2
1256,H13,Player 2
1257,S13,player 1
1258,S2,player 1
1259,S9,player 1
1260,C10,player 1
1261,H12,player 1
1262,S5,Player 2
1263,D13,Player 2
1264,D9,Player 2
1265,D9,Player 2
1266,C13,player 1
1267,D8,player 1
1268,H11,Player 2
1269,C13,player 1
1270,D10,player 1
1271,C13,player 1
1272,D3,player 1
1273,S6,player 1
1274,S13,player 1
1275,C6,Player 2
1276,D10,Player 2
1277,C13,player 1
1278,Tie,Tie
1279,C9,player 1
1280,D12,player 1
1281,S8,player 1
1282,S13,player 1
1283,S11,player 1
1284,D3,Player 2
1285,H7,player 1
1286,D12,player 1
1287,S13,player 1
1288,S5,Player 2
1289,C6,player 1
1290,C12,Player 2
1291,H12,player 1
1292,S6,Player 2
1293,H10,player 1
1294,H12,Player 2
1295,H9,player 1
1296,Tie,Tie
1297,S13,Player 2
1298,Tie,Tie
1299,S10,player 1
1300,D6,player 1
1301,S7,Player 2
1302,S11,Player 2
1303,H12,Player 2
1304,C10,Player 2
1305,D12,Player 2
1306,C13,Player 2
1307,H10,player 1
1308,D3,Player 2
1309,Tie,Tie
1310,C9,player 1
1311,D11,player 1
1312,Tie,Tie
1313,C5,player 1
1314,S10,player 1
1315,D7,Player 2
1316,C12,Player 2
1317,S11,player 1
1318,D3,player 1
1319,D7,Player 2
1320,D11,Player 2
1321,C8,Player 2
1322,Tie,Tie
1323,D6,player 1
1324,C13,Player 2
1325,D8,player 1
1326,D8,player 1
1327,D12,player 1
1328,S9,Player 2
1329,Tie,Tie
1330,D11,Player 2
1331,C13,player 1
1332,S6,Player 2
1333,D11,player 1
1334,C7,Player 2
1335,H11,player 1
1336,C12,player 1
1337,D8,Player 2
1338,C9,player 1
1339,Tie,Tie
1340,D10,player 1
1341,S8,player 1
1342,C9,Player 2
1343,S10,Player 2
1344,D5,Player 2
1345,Tie,Tie
1346,H7,Player 2
1347,H13,Player 2
1348,C13,Player 2
1349,S10,player 1
1350,H13,Player 2
1351,S12,player 1
1352,C9,Player 2
1353,S12,player 1
1354,S12,player 1
1355,D10,player 1
1356,D11,player 1
1357,D13,player 1
1358,D11,player 1
1359,Tie,Tie
1360,H12,Player 2
1361,C11,Player 2
1362,D3,player 1
1363,C5,Player 2
1364,H9,Player 2
1365,S8,Player 2
1366,C12,Player 2
1367,C8,Player 2
1368,C7,Player 2
1369,H6,Player 2
1370,C12,Player 2
1371,C10,player 1
1372,D6,Player 2
1373,D13,Player 2
1374,H10,player 1
1375,D13,player 1
1376,C13,Player 2
1377,S13,Player 2
1378,D11,player 1
1379,D12,player 1
1380,D13,Player 2
1381,Tie,Tie
1382,S12,Player 2
1383,S9,player 1
1384,Tie,Tie
1385,S11,Player 2
1386,C2,Player 2
1387,H11,player 1
1388,D11,player 1
1389,S4,Player 2
1390,H13,Player 2
1391,D8,player 1
1392,S12,player 1
1393,C8,player 1
1394,S8,player 1
1395,C7,player 1
1396,Tie,Tie
1397,Tie,Tie
1398,S9,Player 2
1399,H11,Player 2
1400,D7,Player 2
1401,H11,player 1
1402,H9,player 1
1403,S6,player 1
1404,S2,player 1
1405,S8,Player 2
1406,H8,player 1
1407,D4,player 1
1408,S13,Player 2
1409,D4,player 1
1410,S9,Player 2
1411,D9,player 1
1412,C12,player 1
1413,C7,player 1
1414,C6,Player 2
1415,D9,Player 2
1416,D13,Player 2
1417,D4,Player 2
1418,C10,Player 2
1419,S13,Player 2
1420,S12,Player 2
1421,H8,Player 2
1422,C8,player 1
